image,analysis
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/001_fe3347c0.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/002_8f8da10e.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/003_57612506.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/004_f61e7d0c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/005_582c121a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/006_9135205d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/007_cabbfcbb.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/008_d1f87068.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/009_fb3e6174.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/010_f99d79e3.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/011_7344ca35.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/012_cfcd4007.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/013_95ecbd39.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/014_0d29db88.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/015_8bac79b5.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/016_8945d6ca.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/017_e28ea9d4.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/018_fcafe1a8.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/019_57ab290d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/020_4c4b655f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/021_6e419870.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/022_b497b92e.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/023_7781dd1c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/024_ca32be97.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/025_41cee764.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/026_2828fcaf.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/027_58887f30.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/028_6a0ff8de.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/029_f2882b0d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/030_66bddeb6.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/031_2364f4d8.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/032_db66bd61.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/033_23e68208.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/034_418fbbdb.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/035_2e497561.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/036_3e807a88.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/037_62d00a09.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/038_e40d5b16.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/039_6b10ab98.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/040_2ef814c7.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/041_abf5c9cb.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/042_2ccd070f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/043_b812749f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/044_512dfd33.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/045_c560251e.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/046_d93a2c2d.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/047_5350c8c0.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/048_0a32a483.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/049_4d6df392.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/050_7c5b026c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/051_268fdfd7.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/052_6db5f5bf.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/053_05c78fa1.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/054_7ba62f81.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/055_aaaf063c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/056_97412d14.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/057_7f34f0f4.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/058_02860eff.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/059_df425619.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/060_4037f0f7.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/061_e18ba2b0.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/062_6aa9cf8f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/063_c486d5ef.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/064_0de68937.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/065_689150aa.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/066_b378479b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/067_ff52c2fe.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/068_2fb110d1.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/069_9d0e44d5.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/070_1a4312d2.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/071_b537dbca.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/072_8d068904.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/073_9f1d377a.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/074_0ec79719.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/075_4c504eec.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/076_1d914d5b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Angelina Jolie/077_27650aa3.jpg,"[1, 0, 0, 1, 1]"
