image,analysis
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/001_9adc92c2.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/002_85eab275.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/003_8889ec2c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/004_41caa173.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/005_3ba56da0.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/006_ff6876d9.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/007_68abd54d.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/008_d5553651.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/009_11c22a3b.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/010_cce39614.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/011_17b8991d.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/012_b33b05c6.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/013_025c288f.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/014_07f2f9cb.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/015_186b4bbf.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/016_e319349e.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/017_fad27cd4.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/018_3bdca9f6.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/019_2d261ea3.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/020_edd8803c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/021_4d5264fd.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/022_9b0e7dc8.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/023_53e3d0b3.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/024_2a9dc3ca.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/025_31c04ded.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/026_4e67d826.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/027_ded82a08.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/028_7214d33e.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/029_c6e0a7f3.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/030_c2291830.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/031_e8d3b475.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/032_0e6a520a.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/033_06f1823f.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/034_09baeb19.jpg,"[0, 0, 1, 0, 1]"
