image,analysis
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/001_08194468.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/002_86e8aa58.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/003_85990366.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/004_af012af1.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/005_7fe5b764.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/006_30010640.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/007_6ca7c622.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/008_35daa4bc.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/009_b86449f6.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/010_2f9c83bc.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/011_0549f94d.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/012_d7aea1e6.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/013_ca6af517.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/014_539eee38.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/015_2872d02b.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/016_7b57be6a.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/017_51311450.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/018_2c458568.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/019_78627223.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/020_14f28bc8.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/021_eecdee92.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/022_66e94346.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/023_0367d72c.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/024_bf83d073.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/025_e5920270.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/026_ecbdaaa7.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/027_7094e195.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/028_38a65d29.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/029_8522ebc8.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/030_60acb78e.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/031_28a211fc.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/032_00aee064.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/033_312ea9ed.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/034_00c6d43e.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/035_ab7cf1c4.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/036_f5ea9e84.jpg,"[1, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/037_fe4d2d8f.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/038_b52784d4.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/039_d49e8191.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/040_3a2c98cd.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/041_c91b0923.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/042_bfbfd7d8.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/043_93a5e582.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/044_f13caf17.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/045_d074e61c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/046_db08e5f7.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/047_ce57f03b.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/048_f82caaae.jpg,"[1, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/049_37f969c1.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/050_e7bdecc0.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/051_38196d60.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/052_74c7be90.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/053_8bfac05e.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/054_1de20f77.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/055_ba4ace00.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/056_13edab75.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/057_f0c37eee.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/058_0a6c61e9.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/059_1027f3c2.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/060_668ebb3f.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/061_57c86521.jpg,"[0, 0, 0, 0, 0]"
