image,analysis
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/001_a51bb26a.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/002_cc92e159.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/003_e18853f8.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/004_29776ffe.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/005_8af3cada.jpg,"[1, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/006_c26122bd.jpg,"[1, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/007_ecb8599e.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/008_79cd0b7b.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/009_49237aa0.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/010_991a88dc.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/011_da108a07.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/012_e3dd7d69.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/013_9e49009e.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/014_75f93e62.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/015_76c98a92.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/016_375490e8.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/017_fd82d064.jpg,"[1, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/018_0d23eccd.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/019_ac261615.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/020_b12140b8.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/021_d1cfd3e9.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/022_64141160.jpg,"[0, 1, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/023_51dce41c.jpg,"[0, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/024_db7504a3.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/025_467e0866.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/026_76e88f4c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/027_25f404f4.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/028_10053075.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/029_02077e81.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/030_adb3aa0e.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/031_f2f3733f.jpg,"[0, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/032_ac85b92c.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/033_255948c8.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/034_71739e5a.jpg,"[0, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/035_e4be5129.jpg,"[1, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/036_1b97e72c.jpg,"[1, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/037_342fdd2c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/038_165ebb58.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/039_bfbbf1e4.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/040_91c31d91.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/041_b77c7671.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/042_6ac9e24e.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/043_993b1247.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/044_faec2086.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/045_caf1e891.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/046_a658cf42.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/047_389fe7b8.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Robert Downey Jr/048_d7765620.jpg,"[0, 0, 0, 0, 1]"
