image,analysis
Dataset P2/Celebrity Faces Dataset/Tom Cruise/001_08212dcd.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/002_6749a2c4.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/003_ed3fb7b1.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/004_dc64d954.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/005_2464c583.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/006_46519378.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/007_0a40d399.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/008_4d5e67ae.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/009_1f22d945.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/010_18d7b27c.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/011_0dda409c.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/012_900c5b05.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/013_712a38d6.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/014_50bc41b8.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/015_8adbc3ae.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/016_9959338f.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/017_e1b1872c.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/018_cae0c8ec.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/019_99363fad.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/020_e616c0af.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/021_f04e960b.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/022_43b050c3.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/023_dd4e8918.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/024_e7356978.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/025_72e3b32b.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/026_f06834e9.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/027_7c6c360c.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/028_a41d259d.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/029_ea3de34c.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/030_377fefef.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/031_df3204d3.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/032_5934eb7a.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/033_d891acbd.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/034_ed2c8762.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/035_34c306d1.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/036_f47a2dc9.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/037_463cf3bd.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/038_02f8e0ee.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/039_107ec01f.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/040_ca0a46b5.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/041_e2eff4e4.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/042_495b3b2e.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/043_be7cc0ea.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/044_8ce8a143.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/045_0b1b7a65.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/046_9ba44e0e.jpg,"[1, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/047_e8a911aa.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/048_21c4f84a.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/049_78b42871.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/050_278ec040.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/051_566647e1.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/052_60af6c54.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/053_3804bf81.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/054_5e6a651d.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/055_3fd4465f.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/056_158d5258.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/057_e3da0420.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/058_a119b343.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/059_6b515be7.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/060_b53036a3.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/061_aa29ec4f.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/062_d4b7903f.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/063_5b917fac.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/064_871302d1.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/065_22f91b1e.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/066_60ea35c5.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/067_8dcd661e.jpg,"[1, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/068_02e157e1.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/069_be9dbc40.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/070_86a8dd4b.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/071_0ebe70f4.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/072_dccafedf.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/073_dc7ca0db.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/074_f29224ac.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/075_eed20fb4.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/076_d4ee20ae.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/077_58e430f4.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/078_076c27b8.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/079_fd41500f.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/080_566ea9e9.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/081_d6521f1f.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/082_1ac0f1ee.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/083_63bb9285.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/084_31281f33.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/085_698d9a21.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/086_8a3c6af8.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/087_8fff57dd.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/088_fde7e34b.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/089_20b122f3.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/090_8f4eb0e6.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/091_a9736a22.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/092_53648816.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/093_7e0d43d2.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/094_2f713c67.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/095_08f36cce.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/096_b45f1da1.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/097_914cebdd.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/098_3790f566.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/099_705dbe8c.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Cruise/100_32a5d9d1.jpg,"[0, 0, 0, 0, 0]"
