image,analysis
Dataset P2/Celebrity Faces Dataset/Brad Pitt/001_c04300ef.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/002_cc1b9701.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/003_7a6b2156.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/004_777c50d0.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/005_02ab3a1b.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/006_87166f38.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/007_74ccfb4a.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/008_31e90c6b.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/009_23c94f29.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/010_08c44431.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/011_270cd3ea.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/012_8de7a736.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/013_0c83ca91.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/014_871b0d80.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/015_82889ec9.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/016_8bb23f7e.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/017_4748675b.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/018_136dbb40.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/019_ddcd5687.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/020_45c8d790.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/021_143b276f.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/022_a8206d1a.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/023_98d91529.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/024_54112f36.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/025_25dc7dcf.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/026_805241a7.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/027_78f200c3.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/028_181cbb8a.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/029_36dac19e.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/030_716e4856.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/031_8fc10a75.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/032_fd37a8e2.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/033_46c95715.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/034_984e63b3.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/035_a767728d.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/036_5e0af3bf.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/037_b5467841.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/038_5e10a567.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/039_1c018deb.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/040_9b4bfe5b.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/041_cc0957bf.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/042_8030e553.jpg,"[1, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/043_6973a308.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Brad Pitt/044_ac060de4.jpg,"[0, 0, 1, 0, 0]"
