image,analysis
Dataset P2/Celebrity Faces Dataset/Denzel Washington/001_d3323f3c.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/002_f44b8d45.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/003_b622e925.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/004_677c65bf.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/005_cb37c7b2.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/006_2880115c.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/007_1f6f632a.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/008_7619a328.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/009_817304c7.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/010_47031d88.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/011_c2d9c2a1.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/012_6b8f22bf.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/013_5928728c.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/014_9742cf0f.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/015_72bb2861.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/016_61188e3c.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/017_f308fc36.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/018_e4ed6557.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/019_330f0c75.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/020_9f8446bb.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/021_8295d645.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/022_b60724f6.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/023_75fd6b60.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/024_54153da7.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/025_61e2c5e5.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/026_2f832037.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/027_c7a10f8d.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/028_29634e07.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/029_cf7e7736.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/030_90c3e21e.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/031_2fe075a5.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/032_a67c5aa8.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/033_f49a691c.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/034_e09c630c.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/035_014caeb7.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/036_7ec2e5de.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/037_39f2db43.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/038_d967a9c7.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/039_faa6425d.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/040_e534b74f.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/041_c8998bae.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/042_b0c87dc0.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/043_9bfd94a4.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/044_c38d661d.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/045_60fc8dc5.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/046_b67077e0.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/047_05f6a63f.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/048_cd8dc27d.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/049_40f1ba49.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/050_a5810700.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/051_d27cd673.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/052_244a9729.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/053_4f937ab4.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/054_b8e917f6.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/055_fbbcb3c7.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/056_ccaa5638.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/057_ce4bc775.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/058_3743cf7d.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/059_3b848154.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/060_fa55e260.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/061_6bf34908.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/062_f1f905e2.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/063_7656840a.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/064_b2ccbaf6.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/065_b2b4591d.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/066_0411d529.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/067_ee6435dc.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/068_d9509f11.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/069_37296c7d.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/070_8020c2b5.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/071_30155b02.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/072_648a84c5.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/073_2880f59c.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/074_2a4ca70b.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/075_b5f2a9e5.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/076_7dd9c0bd.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/077_a0ceecbd.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/078_8a19b2b4.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/079_b055b519.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/080_42f1d0a7.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/081_7e097924.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Denzel Washington/082_359c4774.jpg,"[0, 0, 0, 0, 0]"
