image,analysis
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/001_21a7d5e6.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/002_533748b2.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/003_963a3627.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/004_94f26ed9.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/005_7f198c47.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/006_2d0dccd4.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/007_72ad75ba.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/008_35fbbb0c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/009_bcd380a7.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/010_34d63b53.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/011_8c50c05f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/012_12d61e14.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/013_78060c8a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/014_0100b141.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/015_48a3c3ec.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/016_d731baf7.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/017_b67e0915.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/018_2974b20a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/019_ab6f69c3.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/020_5a08581b.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/021_2eaafb9f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/022_e214ba9f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/023_5bc0c09d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/024_bfe8d1d4.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/025_f5a5036b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/026_cf5be1f1.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/027_3290d1bc.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/028_7191558a.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/029_7cc8d551.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/030_4f246d8f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/031_0785344e.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/032_bed86546.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/033_c27f428c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/034_de792370.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/035_39bf8fcb.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/036_e76dcff2.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/037_46ec39ce.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/038_ca50cc93.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/039_f2610531.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/040_b392a367.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/041_54a9280d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/042_db56b563.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/043_cccb0e88.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/044_2619e688.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/045_9f391be6.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/046_7a3818f6.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/047_6e08a927.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/048_2646d85d.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/049_d3ba5c55.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/050_f545b0ea.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/051_2aace444.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/052_f7f4e937.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/053_235dbe3b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/054_cc2a9231.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/055_7b8dfc3a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/056_f22ab393.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/057_3911a64f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/058_a8b460e9.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/059_dd54feaf.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/060_bb963eed.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/061_2306ab5b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/062_99dd69cb.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/063_67d7dfda.jpg,"[1, 0, 0, 1, 1]"
