image,analysis
Dataset P2/Celebrity Faces Dataset/Johnny Depp/001_2288a4f6.jpg,"[1, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/002_331d0423.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/003_64926b97.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/004_18e08ab4.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/005_9406f32d.jpg,"[1, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/006_8fc31fd7.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/007_1bc0bcd6.jpg,"[1, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/008_35d1be70.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/009_f4a38fec.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/010_610eea60.jpg,"[1, 1, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/011_c826a613.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/012_563f0843.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/013_f44c68a1.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/014_68248214.jpg,"[1, 1, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/015_0474556e.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/016_8b4d3698.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/017_aadefe7b.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/018_14e5366f.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/019_3eb26944.jpg,"[1, 1, 0, 0, 0]"
