image,analysis
Dataset P2/Celebrity Faces Dataset/Kate Winslet/001_5992faf7.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/002_590bb980.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/003_acb20793.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/004_0816d969.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/005_93b2fce9.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/006_eda1948f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/007_572cf58c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/008_6c01eb52.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/009_07c15c37.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/010_6102c83d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/011_dbc62ba7.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/012_a2bb90dc.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/013_b59e4acc.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/014_76fd590c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/015_3a0f9ec8.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/016_211776b6.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/017_fb53f84d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/018_738a56fd.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/019_4402a7fe.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/020_a7a653f4.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/021_40180588.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/022_6cc0e508.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/023_06dbacd1.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/024_cc39b61d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/025_0131eaa3.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/026_92cdfd7c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/027_f8cd6e70.jpg,"[1, 1, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/028_669aab36.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/029_890b58a4.jpg,"[1, 0, 0, 1, 0]"
