image,analysis
Dataset P2/Celebrity Faces Dataset/Natalie Portman/001_9cd1160a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/002_3a2ef5df.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/003_13b7bb9d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/004_09c5d285.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/005_f8b76ad5.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/006_51ad8fdd.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/007_b82eb947.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/008_8fc20495.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/009_3300e98f.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/010_9f899833.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/011_7b37bf1f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/012_36c352b5.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/013_46b35530.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/014_2c325a73.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/015_d425c0eb.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/016_b170ab55.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/017_22f7f808.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/018_cadc0487.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/019_58c32d1b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/020_c1a8bc2c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/021_0b9bd77d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/022_0b6f73be.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/023_b70934ce.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/024_036921f7.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/025_c55c4e11.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/026_588e5bb5.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Natalie Portman/027_ffa4c67b.jpg,"[1, 0, 0, 1, 1]"
