image,analysis
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/001_504d320d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/002_36285f46.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/003_98a0852a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/004_3491d187.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/005_0623ac96.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/006_04d74e12.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/007_76dc423a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/008_3bfedab8.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/009_8844bacc.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/010_ce5bd8a2.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/011_71969f29.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/012_b26d9a9d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/013_2bff574a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/014_bbe9116e.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/015_d6354178.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/016_a669f24c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/017_110dcc6a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/018_9d776351.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/019_43561f73.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/020_36cd1f03.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/021_7b2a627c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/022_04cbae20.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/023_559a07b6.jpg,"[1, 0, 0, 1, 1]"
