image,analysis
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/001_5ef3e95c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/002_24fab375.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/003_0e3303fc.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/004_78847874.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/005_b0b4e2fa.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/006_96ea405c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/007_5b97655c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/008_f9ffe0c5.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/009_41aa3ed9.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/010_09f6d2fe.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/011_96913041.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/012_9585a2f6.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/013_3ef4eccf.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/014_fe364387.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/015_8a94d8c7.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/016_206a880f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/017_8108b7ce.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/018_20e2b978.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/019_7a6470ab.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/020_3af33d4e.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/021_7ae7b9a5.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/022_1c07f2df.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/023_7214d0b2.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/024_9385dcfc.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/025_d5418b1e.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/026_e5342024.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/027_f5294957.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/028_5388c983.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/029_c1a6907a.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/030_642eaf93.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/031_ad150d21.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/032_f3773aa6.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/033_bc82f2a9.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/034_3c156ed0.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/035_bc2e1105.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/036_701f7b42.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/037_c035b16e.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/038_254f6d4c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/039_7654fd34.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/040_4b9bc437.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/041_642b1b15.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/042_d91db350.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/043_4f352240.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/044_49497c96.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/045_24ebd253.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/046_89b5683b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/047_afa9bc7d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/048_ee0ebb84.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/049_0ba44f0d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/050_4bdc1f8a.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/051_6e09f63c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/052_18640959.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/053_ae92d5b1.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/054_81a12509.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/055_7e5055b5.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Sandra Bullock/056_7b1ade09.jpg,"[1, 0, 0, 1, 1]"
