image,analysis
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/001_cb004eea.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/002_ea6e259d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/003_b416eed5.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/004_bb16ac65.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/005_1fc7405f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/006_07bd8618.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/007_c72ff5ba.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/008_10846cce.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/009_fc574624.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/010_4eb6eabe.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/011_32193038.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/012_be8f222c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/013_125e020a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/014_d5c7b58f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/015_bca34e2c.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/016_3e4f9139.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/017_4f3f64e7.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/018_a532251b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/019_9e00e190.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/020_cce4e0e0.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/021_0b380404.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/022_65ffb673.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/023_e57cc529.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/024_6c2e4da8.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/025_cd625bef.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/026_f4a75554.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/027_cdf02996.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/028_f7fab378.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/029_75cdebc2.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/030_16328494.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/031_750d847e.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/032_7c1161c1.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/033_e49f1cf2.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/034_bc5b43ee.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/035_b51d7dae.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/036_829e603f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/037_ec9df32c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/038_e44106ce.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/039_f69978ec.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/040_9848047c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/041_9913ca04.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/042_81d1cfae.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/043_46a213d0.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/044_df20e34a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/045_6b008fbc.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/046_83629801.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/047_6ec9d887.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/048_85dcb79b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/049_8398d25d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/050_c8461888.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/051_f852bd6d.jpg,"[0, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/052_89d1073b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/053_ec47a4c0.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/054_e93bb861.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/055_f6e1bf43.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/056_ec9b544d.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/057_317143a9.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/058_90a2b4d3.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/059_07020e9d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/060_003a8f0c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/061_bf06c582.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/062_c5a26020.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/063_61a5b737.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/064_4da75fb3.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Scarlett Johansson/065_6b64e773.jpg,"[1, 0, 0, 1, 1]"
