image,analysis
Dataset P2/Celebrity Faces Dataset/Tom Hanks/001_986d6c22.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/002_f6b26479.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/003_21d0aae6.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/004_a5881d85.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/005_dac94cfe.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/006_a28f75e7.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/007_ba0aa044.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/008_74cd0628.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/009_474a6b2e.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/010_2181b5f4.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/011_1c3b7dfd.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/012_39efc245.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/013_b87334b3.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/014_ff388296.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/015_782498ae.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/016_edfda289.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/017_e4dd8745.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/018_b7231fad.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/019_c332c45a.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/020_0847e879.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/021_b7e22acc.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/022_df2ce089.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/023_2029f686.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/024_2c8389f0.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/025_ff5fcfbd.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/026_bb842452.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/027_82e30afe.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/028_123163e1.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/029_169c07b0.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/030_04d77ac9.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/031_1d57bbbf.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/032_64d86c5b.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/033_71aad839.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/034_c2570ac6.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/035_0902e9ca.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/036_5c1a5498.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/037_5211d423.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/038_339bfc70.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/039_d0c3aa09.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/040_a8df71eb.jpg,"[0, 1, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/041_8f1aa118.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/042_1276f85d.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/043_8093149b.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/044_de4952a5.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/045_b472dfb1.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/046_d84ceb59.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/047_fa46a4c7.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/048_043d84fd.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/049_2924cbf0.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/050_9269f010.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/051_fc2e65a8.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/052_4fb52c63.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/053_5fde0a5b.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/054_e2ea18b5.jpg,"[0, 1, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/055_31123ada.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/056_869073c6.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/057_153bf359.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/058_450266ba.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/059_c7c906d9.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/060_78fae615.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/061_cb7738fd.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/062_41f18a02.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/063_c13c362e.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/064_898b4b7e.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/065_10c32ecc.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/066_72271d5a.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/067_15f0e6bb.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/068_0c16cd68.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/069_fcdc8fc0.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/070_316ffc8a.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/071_4de68b99.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/072_7deadeff.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/073_dcdc4ed3.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/074_ab0c61a6.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/075_0268d466.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/076_66977623.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/077_351b17d6.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/078_8d2a598e.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/079_f5cc99a5.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/080_13b6a4b6.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/081_ff5f08ea.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/082_41697615.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/083_1696e0ba.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/084_96ce3be4.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/085_2a8883ca.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/086_e7072dbb.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/087_6be1cb96.jpg,"[0, 0, 0, 0, 0]"
