image,analysis
Dataset P2/Celebrity Faces Dataset/Will Smith/001_beebcee2.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/002_078f6fe5.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/003_936c5a43.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/004_af9b4c7c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/005_37066c18.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/006_bbb6978e.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/007_9656ae64.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/008_cdaf39e7.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/009_a023db5b.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/010_8bd7dba1.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/011_0e0e8b1c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/012_19e90fb6.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/013_19a43131.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/014_f512d81c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/015_8da65114.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/016_d9c576a4.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/017_bb6ad7d6.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/018_d5d389eb.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/019_33ab99af.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/020_8e6bdc45.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/021_3cf2aa92.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/022_c9c4cb9f.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/023_cb306a1a.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/024_b222784a.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/025_0dc3ad3d.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/026_4f5bfb2c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/027_803986e2.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/028_05df393f.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/029_09dcae68.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/030_df8c8fad.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/031_7ad763d7.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/032_2899cee6.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/033_241ed413.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/034_32b04ae9.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/035_9e22f213.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/036_8751d89b.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/037_17e4f89a.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/038_b28dda4c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/039_3daa67cf.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/040_630a0d6a.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/041_bcfa1766.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/042_f6cff42f.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/043_33815e76.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/044_988edbe9.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/045_810b690c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/046_6d5b1ed6.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/047_dc7e1839.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/048_bf9c2b11.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/049_15a71c48.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/050_f5bd72ba.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/051_1f3aede9.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/052_f15c0c78.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/053_8405b30f.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/054_cbee29ae.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/055_f9cbb53e.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/056_abd6e06b.jpg,"[0, 1, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/057_faaa39ed.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/058_38b80eed.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/059_181bfc6b.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/060_8bb5cac3.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/061_4385aa8d.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/062_07fcfec7.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/063_46f560ca.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/064_88de03f4.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/065_5cb55293.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/066_5d45a68f.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/067_9e09ea61.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/068_b778f382.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/069_80468bd5.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/070_6743629d.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/071_5f7cdaaf.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/072_4a17b7fb.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/073_f04cd664.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/074_61fe25d9.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/075_65ffca63.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/076_d36850ba.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/077_eb907a5f.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/078_44637281.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/079_8575a4bc.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/080_94d3ede6.jpg,"[1, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/081_8dc3b149.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/082_ed9a24cc.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/083_a0692bc1.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/084_0d8b77bc.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/085_97ab4600.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/086_bd951ea7.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/087_6eba84a6.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/088_d6c5d9f4.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/089_97f39eb8.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/090_e959664a.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/091_082508dd.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/092_498e6999.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/093_dc555290.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/094_664a03cd.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/095_8a2dfab4.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/096_0881f6e7.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/097_5c18be93.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Will Smith/098_6f416b6a.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/099_d652e3b6.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Will Smith/100_89cbf87f.jpg,"[0, 0, 0, 0, 0]"
